Age,Income,Education,Marital_Status,Credit_Score
25,50000,Bachelors,Single,1
45,80000,Masters,Married,1
35,62000,Bachelors,Married,1
23,32000,Highschool,Single,0
52,110000,PhD,Married,1
40,76000,Bachelors,Divorced,0
29,54000,Bachelors,Single,1
31,58000,Masters,Married,1
38,67000,Bachelors,Married,1
27,48000,Highschool,Single,0
50,90000,Masters,Married,1
33,60000,Bachelors,Single,1
26,45000,Highschool,Single,0
48,95000,PhD,Married,1
41,82000,Masters,Married,1
30,57000,Bachelors,Single,0
36,65000,Bachelors,Married,1
28,52000,Highschool,Single,0
47,88000,Masters,Married,1
55,120000,PhD,Married,1
